YEAR,KI,MK,HB,DI,GL,BH,HO,TK,FF,BR,TEAMS
2022,89443,37978,59233,148676,5003,3487,14835,24148,8362,1188,18
2021,90193,39162,61026,151219,4778,3511,14234,23752,7903,1188,18
2020,56591,22721,39236,95827,2836,2064,9586,16365,5191,918,18
2019,90750,37808,62728,153478,4795,3563,15949,25899,7792,1188,18
2018,87955,37288,66768,154723,4969,3742,16104,26852,8500,1188,18
2017,87375,38612,70851,158226,5355,3922,16508,28364,7788,1188,18
2016,85035,36658,70400,155435,5336,3784,16425,28902,7775,1188,18
2015,84034,37184,65790,149824,5176,3536,17707,27039,7474,1182,18
2014,84975,36432,65170,150145,5208,3698,16952,27463,6913,1188,18
2013,85698,36554,62772,148470,5561,3907,16351,26070,7478,1188,18
2012,85282,36468,62509,147791,5518,3955,16439,26356,7838,1188,18
2011,80390,34067,60526,140916,5285,3796,15425,27048,7904,1122,17
2010,74764,35120,62709,137473,4856,3567,13417,25159,7165,1056,16
2009,72835,36039,65523,138358,4913,3515,13251,22970,6610,1056,16
2008,74018,38307,57302,131320,5238,3482,11935,19817,7486,1056,16
2007,74711,38302,52956,127667,5107,3582,11573,19543,7028,1056,16
2006,76610,40305,48809,125419,4959,3535,11154,18181,6161,1056,16
2005,70977,33767,43599,114576,5118,3439,11409,16240,6381,1056,16
2004,67872,30661,40204,108076,5012,3504,12414,16680,5493,1056,16
2003,68920,30508,40000,108920,5101,3546,12091,15870,5620,1056,16
2002,68001,29108,40646,108647,5121,3564,11696,15907,5537,1056,16
2001,71101,30764,40257,111358,5258,3585,10755,13176,6300,1056,16
2000,74404,30760,41114,115518,5626,3705,11136,11801,6624,1056,16
1999,71957,28267,39449,111406,5143,3569,11385,9201,6991,1056,16
1998,71033,26944,39763,110796,5012,3592,11713,11396,6776,1056,16
1997,69858,26234,37787,107645,4830,3664,7438,10530,6593,1056,16
1996,69741,26128,39837,109578,5073,3673,7264,11047,7442,1056,16
1995,68689,25044,38801,107490,5055,3814,7124,10243,7156,1056,16
1994,64529,23042,38200,102729,4761,3637,6767,10077,7526,990,15
1993,63050,21485,35236,98286,4782,3552,6151,9319,8297,900,15
1992,69705,23833,38005,107710,5180,3907,6952,9451,8734,990,15
1991,71454,23477,39655,111109,5090,3995,6355,8055,8184,990,15
1990,65573,21705,34845,100418,4614,3758,6110,7768,7985,924,14
