Year,Premier,Premier_LP,Runnerup,Runnerup_LP,Minor Premier,Last,Most Goals,,,Most Disposals,,
2023,,,,,,,Nick Larkey,NM,10,Clayton Oliver,ME,70
2022,Geelong,1,Sydney ,3,Geelong,North Melbourne,Tom Hawkins,GE,67,Clayton Oliver,ME,753
2021,Melbourne,1,Western Bulldogs ,5,Melbourne,North Melbourne,Tom Hawkins,GE,62,Jack Macrae,WB,880
2020,Richmond,3,Geelong ,4,Port Adelaide,Adelaide,Tom Hawkins,GE,49,Lachie Neale,BL,511
2019,Richmond,3,Greater Western Sydney,6,Geelong,Gold Coast,Jeremy Cameron,GW,76,Adam Treloar,CW,789
2018,West Coast,2,Collingwood,3,Richmond,Carlton,Jack Riewoldt,RI,70,Tom Mitchell,HW,848
2017,Richmond,3,Adelaide,1,Adelaide,Brisbane Lions,Lance Franklin,SY,73,Matt Crouch,AD,825
2016,Western Bulldogs,7,Sydney,1,Sydney,Essendon,Josh Kennedy,WC,82,Dan Hannebery,SY,802
2015,Hawthorn,3,West Coast,2,Fremantle,Carlton,Josh Kennedy,WC,80,Sam Mitchell,HW,748
2014,Hawthorn,2,Sydney,1,Sydney,St Kilda,Lance Franklin,SY,79,Jordan Lewis,HW,668
2013,Hawthorn,1,Fremantle,3,Hawthorn,Greater Western Sydney,Jarryd Roughead,HW,72,Dane Swan,CW,717
2012,Sydney,3,Hawthorn,1,Hawthorn,Greater Western Sydney,Matthew Pavlich,FR,69,Dayne Beams,CW,741
2011,Geelong,2,Collingwood,1,Collingwood,Gold Coast,Lance Franklin,HW,82,Dane Swan,CW,760
2010,Collingwood,1,St Kilda,3,Collingwood,West Coast,Barry Hall,WB,80,Dane Swan,CW,820
2009,Geelong,2,St Kilda ,1,St Kilda,Melbourne,Brendan Fevola,CA,89,Dane Swan,CW,769
2008,Hawthorn,2,Geelong,1,Geelong,Melbourne,Lance Franklin,HW,113,Joel Corey,GE,730
2007,Geelong,1,Port Adelaide,2,Geelong,Richmond,Jonathan Brown,BL,77,Kane Cornes,PA,696
2006,West Coast,1,Sydney,4,West Coast,Carlton,Brendan Fevola,CA,84,Scott West,WB,708
2005,Sydney,3,West Coast,2,Adelaide,Carlton,Barry Hall,SY,80,Scott West,WB,637
2004,Port Adelaide,1,Brisbane Lions,2,Port Adelaide,Richmond,Fraser Gehrig,SK,103,Nigel Lappin,BL,630
2003,Brisbane Lions,3,Collingwood,2,Port Adelaide,Western Bulldogs,Matthew Lloyd,ES,93,Nathan Buckley,CW,650
2002,Brisbane Lions,2,Collingwood,4,Port Adelaide,Carlton,David Neitz,ME,82,Simon Black,BL,582
2001,Brisbane Lions,2,Essendon,1,Essendon,Fremantle,Matthew Lloyd,ES,105,Simon Black,BL,622
2000,Essendon,1,Melbourne,3,Essendon,St Kilda,Matthew Lloyd,ES,109,Brett Ratten,CA,695
1999,North Melbourne,2,Carlton,6,Essendon,Collingwood,Scott Cummings,WC,95,Brett Ratten,CA,670
1998,Adelaide,5,North Melbourne,1,North Melbourne,Brisbane Lions,Tony Lockett,SY,109,Robert Harvey,SK,735
1997,Adelaide,4,St Kilda,1,St Kilda,Melbourne,Tony Modra,AD,84,Robert Harvey,SK,756
1996,North Melbourne,2,Sydney,1,Sydney,Fitzroy,Tony Lockett,SY,121,Robert Harvey,SK,597
1995,Carlton,1,Geelong,2,Carlton,Fitzroy,Gary Ablett,GE,122,Liam Pickering,GE,629
1994,West Coast,1,Geelong,4,West Coast,Sydney,Gary Ablett,GE,129,Greg Williams,CA,642
1993,Essendon,1,Carlton,2,Essendon,Sydney,Tony Modra,AD,129,Greg Williams,CA,664
1992,West Coast,4,Geelong,1,Geelong,Sydney,Jason Dunstall,HW,145,Chris McDermott,AD,720
1991,Hawthorn,2,West Coast,1,West Coast,Brisbane Bears,Tony Lockett,SK,127,Barry Mitchell,SY,689
1990,Collingwood,2,Essendon,1,Essendon,Brisbane Bears,John Longmire,NM,98,Tony Shaw,CW,736
