Season,Total_Disposals,Teams,Ave_disposals,Most Disposals,D_Team,Disposals,%_of_disposals
2022,148676,18,8259.8,Clayton Oliver,ME,753,0.5064704458016088
2021,151219,18,8401.1,Jack Macrae,WB,880,0.5819374549494442
2020,95827,18,5323.7,Lachie Neale,BL,511,0.5332526323478769
2019,153478,18,8526.6,Adam Treloar,CW,789,0.5140801939040123
2018,154723,18,8595.7,Tom Mitchell,HW,848,0.548076239473123
2017,158226,18,8790.3,Matt Crouch,AD,825,0.5214060900231314
2016,155435,18,8635.3,Dan Hannebery,SY,802,0.5159713063338373
2015,149824,18,8323.6,Sam Mitchell,HW,748,0.4992524562152926
2014,150145,18,8341.4,Jordan Lewis,HW,668,0.44490326018182424
2013,148470,18,8248.3,Dane Swan,CW,717,0.4829258436047686
2012,147791,18,8210.6,Dayne Beams,CW,741,0.5013837107807647
2011,140916,17,8289.2,Dane Swan,CW,760,0.5393283942206705
2010,137473,16,8592.1,Dane Swan,CW,820,0.5964807634953773
2009,138358,16,8647.4,Dane Swan,CW,769,0.555804507148123
2008,131320,16,8207.5,Joel Corey,GE,730,0.5558939993908011
2007,127667,16,7979.2,Kane Cornes,PA,696,0.5451682893778345
2006,125419,16,7838.7,Scott West,WB,708,0.5645077699551104
2005,114576,16,7161.0,Scott West,WB,637,0.5559628543499512
2004,108076,16,6754.8,Nigel Lappin,BL,630,0.5829231281690662
2003,108920,16,6807.5,Nathan Buckley,CW,650,0.5967682702901212
2002,108647,16,6790.4,Simon Black,BL,582,0.5356797702651707
2001,111358,16,6959.9,Simon Black,BL,622,0.558558882163832
2000,115518,16,7219.9,Brett Ratten,CA,695,0.6016378399903046
1999,111406,16,6962.9,Brett Ratten,CA,670,0.6014038741180906
1998,110796,16,6924.8,Robert Harvey,SK,735,0.6633813495072024
1997,107645,16,6727.8,Robert Harvey,SK,756,0.7023085140972641
1996,109578,16,6848.6,Robert Harvey,SK,597,0.544817390352078
1995,107490,16,6718.1,Liam Pickering,GE,629,0.5851707135547493
1994,102729,15,6848.6,Greg Williams,CA,642,0.6249452442835032
1993,98286,15,6552.4,Greg Williams,CA,664,0.6755794314551411
1992,107710,15,7180.7,Chris McDermott,AD,720,0.6684616098783771
1991,111109,15,7407.3,Barry Mitchell,SY,689,0.6201117821238604
1990,100418,14,7172.7,Tony Shaw,CW,736,0.7329363261566652
