Season,Most Disposals,D_Team,Disposals
2023,Clayton Oliver,ME,70
2022,Clayton Oliver,ME,753
2021,Jack Macrae,WB,880
2020,Lachie Neale,BL,511
2019,Adam Treloar,CW,789
2018,Tom Mitchell,HW,848
2017,Matt Crouch,AD,825
2016,Dan Hannebery,SY,802
2015,Sam Mitchell,HW,748
2014,Jordan Lewis,HW,668
2013,Dane Swan,CW,717
2012,Dayne Beams,CW,741
2011,Dane Swan,CW,760
2010,Dane Swan,CW,820
2009,Dane Swan,CW,769
2008,Joel Corey,GE,730
2007,Kane Cornes,PA,696
2006,Scott West,WB,708
2005,Scott West,WB,637
2004,Nigel Lappin,BL,630
2003,Nathan Buckley,CW,650
2002,Simon Black,BL,582
2001,Simon Black,BL,622
2000,Brett Ratten,CA,695
1999,Brett Ratten,CA,670
1998,Robert Harvey,SK,735
1997,Robert Harvey,SK,756
1996,Robert Harvey,SK,597
1995,Liam Pickering,GE,629
1994,Greg Williams,CA,642
1993,Greg Williams,CA,664
1992,Chris McDermott,AD,720
1991,Barry Mitchell,SY,689
1990,Tony Shaw,CW,736
