Season,Most Goals,GK_Team,Goals_Kicked
2023,Nick Larkey,NM,10
2022,Tom Hawkins,GE,67
2021,Tom Hawkins,GE,62
2020,Tom Hawkins,GE,49
2019,Jeremy Cameron,GW,76
2018,Jack Riewoldt,RI,70
2017,Lance Franklin,SY,73
2016,Josh Kennedy,WC,82
2015,Josh Kennedy,WC,80
2014,Lance Franklin,SY,79
2013,Jarryd Roughead,HW,72
2012,Matthew Pavlich,FR,69
2011,Lance Franklin,HW,82
2010,Barry Hall,WB,80
2009,Brendan Fevola,CA,89
2008,Lance Franklin,HW,113
2007,Jonathan Brown,BL,77
2006,Brendan Fevola,CA,84
2005,Barry Hall,SY,80
2004,Fraser Gehrig,SK,103
2003,Matthew Lloyd,ES,93
2002,David Neitz,ME,82
2001,Matthew Lloyd,ES,105
2000,Matthew Lloyd,ES,109
1999,Scott Cummings,WC,95
1998,Tony Lockett,SY,109
1997,Tony Modra,AD,84
1996,Tony Lockett,SY,121
1995,Gary Ablett,GE,122
1994,Gary Ablett,GE,129
1993,Tony Modra,AD,129
1992,Jason Dunstall,HW,145
1991,Tony Lockett,SK,127
1990,John Longmire,NM,98
